city,category,n_points,k_available,median_min,F15_eucl,pop_share_unreached
Lagos,markets,407,1,12.664287546666705,0.7886563893887837,0.0
Lagos,worship,1808,1,7.993150405932654,0.8976914639559403,0.0
Kano,markets,61,1,24.373641163292042,0.24985835694050992,0.0
Kano,worship,128,1,17.75296480399996,0.4190745986779981,0.0
Port Harcourt,markets,24,1,24.274445540542423,0.3775319139579499,0.0
Port Harcourt,worship,95,1,14.246537565593357,0.6782611153098134,0.0
