city,slug,pop,N_star,N_star_per_100k,coverage_reached,target,n_facilities,pop_covered,sites_vs_existing
Port Harcourt,port_harcourt,2330583.4640324116,115,4.93438667933502,0.9012431269793476,0.9,175,0.661048146443282,0.6571428571428571
Ibadan,ibadan,1221548.5129346848,58,4.748071761854064,0.9042436913311492,0.9,445,0.9240895455468444,0.1303370786516854
Kano,kano,5780864.803093672,119,2.058515534497819,0.9005673166255196,0.9,465,0.8920797418402034,0.2559139784946236
Lagos,lagos,8690986.051600695,327,3.7625189829843713,0.9007828716815948,0.9,2303,0.9004881843768897,0.1419887103777681
Abuja,abuja,2580679.0621922016,345,13.368574382392746,0.9000096523647253,0.9,307,0.5495973172845997,1.1237785016286646
