n_sites,pop_covered
1,0.008705023356737701
2,0.017099100261787528
3,0.02509768350961702
4,0.032471241343074504
5,0.0396877351241284
6,0.04689990957241137
7,0.05394395792189331
8,0.06096285395984535
9,0.06770489276442598
10,0.07424862500125642
11,0.08079032688711767
12,0.08732604391902589
13,0.09384832398107996
14,0.1003087676687351
15,0.10646180501967446
16,0.11259622078914722
17,0.11868575620763579
18,0.12477486199861182
19,0.13086395941839662
20,0.136918381397703
21,0.14287658861301017
22,0.1488347072144826
23,0.15450349583771714
24,0.16012817274993085
25,0.16574399263956377
26,0.17135060504753105
27,0.17683826503322594
28,0.18231315839046408
29,0.18776287140110903
30,0.19318872852526117
31,0.19853662725961752
32,0.20380621733443482
33,0.20902445707552358
34,0.21415991052486547
35,0.219243279405543
36,0.22428120035863872
37,0.2293022733483193
38,0.23432138250007778
39,0.23933786712185978
40,0.2442839849708735
41,0.24921011480670718
42,0.25411387687201525
43,0.25900648762572537
44,0.26383619558963833
45,0.268644953553411
46,0.2734356021304236
47,0.27813657167374206
48,0.28281940232044683
49,0.28746694246182464
50,0.29209669332759985
51,0.29671368392319614
52,0.30129345348473807
53,0.3058714549341127
54,0.31042022784258294
55,0.3149531979786187
56,0.3194712194690565
57,0.323979228033121
58,0.3284586498328319
59,0.3329094982036303
60,0.337339618732424
61,0.3417509806014947
62,0.3461577230197033
63,0.35049855178773964
64,0.3548130279614976
65,0.3591173858651745
66,0.3633465978921373
67,0.36756820362088527
68,0.37178280196028923
69,0.37599243453995357
70,0.38019882790402465
71,0.38437038696459974
72,0.38853903225368647
73,0.3927063339323439
74,0.39684242976856754
75,0.4009161066320009
76,0.40495023061760427
77,0.4089366704123139
78,0.4129192639747236
79,0.4168427784975866
80,0.4207108490021488
81,0.4245776001627288
82,0.4283508641595781
83,0.4321047529149286
84,0.4358156877783031
85,0.4395130457879538
86,0.4431836978014089
87,0.44684212121013656
88,0.4504942755455873
89,0.4541258413997035
90,0.4577481505211775
91,0.4613195941708475
92,0.4648861571667182
93,0.46844119247043475
94,0.4719740536798169
95,0.47550105386760216
96,0.4789409369503287
97,0.4823531896522813
98,0.4857273202074426
99,0.4890757695157406
100,0.4924025168689279
101,0.4957101045739046
102,0.4990155173001333
103,0.5022671208518473
104,0.5055104723279877
105,0.5087421945108761
106,0.5119722845786698
107,0.5151516704675698
108,0.5183241789171189
109,0.5214451168924905
110,0.5245575551907814
111,0.5276016031704874
112,0.5305931900712704
113,0.5335804136993069
114,0.536564460555078
115,0.5395088103441661
116,0.5424418720067552
117,0.5453629118592003
118,0.5482743544731623
119,0.5511723468911216
120,0.5540028833108163
121,0.5568085622172925
122,0.5596068484116349
123,0.5623913711909385
124,0.5651587431225162
125,0.5678824701209839
126,0.5706047136383204
127,0.573325914194419
128,0.5760426875120294
129,0.5787541967779595
130,0.5814557388204369
131,0.5841486759244244
132,0.5868362845123704
133,0.5895121140055583
134,0.5921815798835038
135,0.5948505603306772
136,0.5975112912041537
137,0.6001662747702741
138,0.6028209139939039
139,0.6054692993934141
140,0.6081146083678559
141,0.610732759257883
142,0.6133130667294818
143,0.6158835056234392
144,0.6184394284066453
145,0.6209896987396094
146,0.623512937989339
147,0.6260076437363755
148,0.6284954473098289
149,0.6309759597161737
150,0.6334414437091398
151,0.635891462200904
152,0.6383220256844309
153,0.6407369439469212
154,0.6431344975250877
155,0.6455186363886894
156,0.6478989938531601
157,0.6502670318856758
158,0.6526315117712732
159,0.6549720270616459
160,0.6573101905037646
161,0.659647086189005
162,0.661962142714303
163,0.6642753823882444
164,0.6665775432330248
165,0.6688745123801759
166,0.6711517079107043
167,0.6734277467517085
168,0.6756890681167792
169,0.6779382497709918
170,0.6801357426586812
171,0.6823144525898048
172,0.6844919299908564
173,0.6866445535404821
174,0.6887911207620949
175,0.6909375623965266
176,0.6930839512150269
177,0.695227400232866
178,0.6973664099226666
179,0.6995051376623894
180,0.7016352279901421
181,0.7037498296626482
182,0.7058332352719854
183,0.7079080392193583
184,0.7099774741462405
185,0.7120410217063267
186,0.714102676560408
187,0.7161577250886343
188,0.7181914342422621
189,0.7202175135070639
190,0.7222353252850616
191,0.7242380461824861
192,0.7262245520263079
193,0.7282088818765854
194,0.7301596272625843
195,0.732104711844707
196,0.7340442350519178
197,0.7359835589622743
198,0.737915951059272
199,0.7398293700620222
200,0.7417374937991094
201,0.743636363011186
202,0.7455230837630237
203,0.7474049536772861
204,0.7492596079042786
205,0.7511104707699526
206,0.7529598627002544
207,0.7548010877456907
208,0.7566403146295432
209,0.7584783037776646
210,0.7603080838445224
211,0.7621367164096685
