n_sites,pop_covered
1,0.03112489663513971
2,0.061746894454531166
3,0.09209466809057222
4,0.1158940034519417
5,0.13833617686875083
6,0.15854366736503994
7,0.17857317907927817
8,0.19815901520160345
9,0.21735222152088932
10,0.23629884961867806
11,0.2536384515084469
12,0.2688599652645666
13,0.28376518437165293
14,0.29730894781745665
15,0.3108401558447841
16,0.32432463228769304
17,0.3377426282215977
18,0.3506700966665727
19,0.363561460140466
20,0.37597448489152036
21,0.388305576427985
22,0.4005942033952278
23,0.41246667167998574
24,0.42360915348888944
25,0.43471330265505836
26,0.4457721866695026
27,0.45682599053985234
28,0.46778977295281327
29,0.47856545615381724
30,0.48931444403993635
31,0.4995453107489333
32,0.5095998989739231
33,0.5195249544419471
34,0.5291803193083536
35,0.5380587468352023
36,0.5469081652673157
37,0.5557500782202002
38,0.5643450358568755
39,0.572441047094863
40,0.5804571574481501
41,0.5881917860377023
42,0.5958973613533195
43,0.6035197997027955
44,0.6110999646037861
45,0.618672844278161
46,0.6259391086877376
47,0.633205221287157
48,0.6404548901890756
49,0.6476849179234034
50,0.6547234739389478
51,0.6617200846607894
52,0.6684597050439166
53,0.6751516884956691
54,0.6815132679413877
55,0.6877922314860885
56,0.6936610701392388
57,0.6993011717445399
58,0.7047368395771947
59,0.7101404356321668
60,0.7151668370278753
61,0.7201237468503585
62,0.7249692250564416
63,0.7297694212120084
64,0.7345592578724375
65,0.7393441263861783
66,0.7440905696715708
67,0.7487852590718578
68,0.7532597911398251
69,0.757604660969436
70,0.7619133347323687
71,0.7660906391321178
72,0.7702582554835681
73,0.774386866089137
74,0.7785146517281579
75,0.78251357592025
76,0.7864376298419532
77,0.7903559443688961
78,0.7942300558635517
79,0.7980054902444941
80,0.8017568094377743
81,0.8053558224720775
82,0.8089338953944252
83,0.8124764402382778
84,0.8158951413011967
85,0.819196066732559
86,0.8223965869388999
87,0.8254856086139737
88,0.8285609548841767
89,0.8316319824122359
90,0.8346958964358209
91,0.8377309622558146
92,0.8407564908393863
93,0.8437123462458358
94,0.8466264453175408
95,0.8495364959235033
96,0.8524215593784358
97,0.8551060306345124
98,0.857756077563086
99,0.8602953313511433
100,0.8628212596297578
101,0.8653231661299408
102,0.8678181690877921
103,0.8701100199062258
104,0.8723486587458079
105,0.8745869503065239
106,0.8768243381129124
107,0.8789592079482659
108,0.8810587357737928
109,0.8829783867486364
110,0.8848791040211488
111,0.8867130028688776
112,0.8885205598643559
113,0.8903112857915857
114,0.892062577218212
115,0.8938133837742421
116,0.8955226756603707
117,0.8972309978562831
118,0.8989099377366769
119,0.9005673166255196
