city,cut,units,n_hex,pop,PT_city,F15,Gini_PT,F15_health,F15_schools
Lagos,plate,7 local government areas,2756,2327862.952401161,12.554339821088847,0.7057608907330827,0.4200468809643656,0.632207753337041,0.796810208252796
Lagos,omitted,9 local government areas,6572,6260887.960249424,9.135842655915043,0.913184851288152,0.2797095638039354,0.8010818361085672,0.9587167375110613
Lagos,metro,16 local government areas,9773,8690986.051600695,10.250488910816369,0.8537813074230477,0.3463615746741847,0.7521132601388881,0.9115741498039709
Abuja,plate,10 wards,7629,2015528.2839905024,26.287057834719242,0.24737774510489025,0.29390283191400984,0.19548539370117277,0.35768674442706183
Abuja,omitted,4 AMAC wards off the plate,5783,492328.6975313425,38.10384810079426,0.1135992784507296,0.31436335482525096,0.12978496801139425,0.20689461172142334
Abuja,amac,AMAC,11657,2095698.9392590523,30.507847168924933,0.1702977632561206,0.292514652448505,0.14404327605235828,0.26422625508104597
Abuja,metro,"AMAC plus Kubwa, Dutse and Usuma",16412,2580679.0621922016,29.767517414684857,0.2148756251844027,0.3245992633232009,0.1779515596843966,0.3190731483338043
