city,grid3_markets,overture_food,dupes_dropped,food_total,pharmacy,food_median_min,food_F15,pharmacy_median_min,pharmacy_F15
Lagos,407,874,9,1281,210,14.117725134487879,0.763449974165763,36.56738372398429,0.22679504487084265
Kano,61,83,0,144,27,37.10098366420398,0.1186024551463645,87.08985132528007,0.02813975448536355
Ibadan,38,92,2,130,17,175.82013074142816,0.05867186955612849,209.18287393984497,0.0018814019928924813
Abuja,18,146,0,164,65,140.29784366468604,0.13282740119013378,177.32720697856416,0.045595279383109706
Port Harcourt,24,118,0,142,35,23.16758023946924,0.44845725904501493,49.86321214749594,0.08256693426579813
