n_sites,pop_covered
1,0.017341148038642864
2,0.03342792283317171
3,0.049439103940315254
4,0.06337492551621991
5,0.07703810744338652
6,0.09038818570662871
7,0.10341679004694236
8,0.11639555364186012
9,0.128921825036093
10,0.14133665085354497
11,0.1533915035206641
12,0.16463821458157324
13,0.17558257341068537
14,0.18579327357039946
15,0.19451853511713268
16,0.2031612349433291
17,0.21168795660448345
18,0.21951157637825464
19,0.2272782616844559
20,0.23488916669137616
21,0.24220917473637624
22,0.24948694613741745
23,0.2563407329854999
24,0.26315745792769146
25,0.2698285550603929
26,0.276480486524656
27,0.28307426334824515
28,0.2894776304664307
29,0.2958038923363515
30,0.3019875051896798
31,0.3081073828317198
32,0.3142153891965894
33,0.32019314795475623
34,0.3261297902404979
35,0.3319926065323407
36,0.3378425397693996
37,0.34345596804104084
38,0.348976048662154
39,0.3544084171021585
40,0.35978238136322443
41,0.3650864374576774
42,0.3703627053171887
43,0.3755632314112754
44,0.38067634599821565
45,0.38577774557324607
46,0.3908524334126162
47,0.3958827106318332
48,0.4008801079967445
49,0.4058038563645168
50,0.4106684905431682
51,0.41542322935516063
52,0.4201349128155762
53,0.42482375064918326
54,0.42948610296582446
55,0.4341065310907581
56,0.43868842902927474
57,0.4432658101029703
58,0.44780190576696394
59,0.45232902040746603
60,0.45685258733547696
61,0.4613520150878155
62,0.4658241311731214
63,0.47026826969812946
64,0.4746826896438627
65,0.47908157303602295
66,0.48347841302199224
67,0.48785854194458034
68,0.49222993630677286
69,0.4965899242582556
70,0.5009472160236654
71,0.5052674728678048
72,0.5095471716496303
73,0.5137559654617191
74,0.5179524649330776
75,0.5220850548592109
76,0.5262060957758125
77,0.5303172393977511
78,0.534383493049861
79,0.5384377912594577
80,0.542462103079249
81,0.546468799158645
82,0.5503937491169747
83,0.5542657679629396
84,0.5580998674333653
85,0.5618931687712225
86,0.5656764341484337
87,0.5694349465061391
88,0.5731646629726572
89,0.5767939520761118
90,0.5803618640769778
91,0.5839141325824095
92,0.587413340962185
93,0.5909025483081233
94,0.5943895131480208
95,0.5978754766662516
96,0.6013557619864457
97,0.6048094364837558
98,0.6082202654119604
99,0.6116275894597348
100,0.6150270721904678
101,0.6183495644252899
102,0.6216709823619495
103,0.6249884759517329
104,0.6282375662406349
105,0.6314444187423109
106,0.6345690815942209
107,0.6376922943785088
108,0.6407261042317243
109,0.6437371068281528
110,0.6467195297464128
111,0.649691602237207
112,0.6526132199758564
113,0.6555176140197355
114,0.6584154277349711
115,0.661286370502735
116,0.6641430798419706
117,0.6669006565175291
118,0.6696492791895039
119,0.6723704931619623
120,0.6750655038047884
121,0.6777010909996951
122,0.6803365354972831
123,0.6829234972308923
124,0.6854691024066517
125,0.6879837279742843
126,0.6904619440591865
127,0.6929103773411267
128,0.6953399263588244
129,0.6977606743909907
130,0.7001496613348259
131,0.7025317794226088
132,0.70480832634145
133,0.7070632492756851
134,0.7093072978888951
135,0.7115439917146763
136,0.7137774286061827
137,0.7160029715045073
138,0.7181885943697265
139,0.7203504558219748
140,0.7224979364167895
141,0.7246038213483516
142,0.7266710117823844
143,0.7287378923796091
144,0.730793313127183
145,0.732836556343162
146,0.7348766229445441
147,0.7368898836204498
148,0.738879318064759
149,0.7408548209907695
150,0.7428028313160815
151,0.7447364402546209
152,0.7466498532467388
153,0.7485598003271242
154,0.7504473016623227
155,0.7523229107655844
156,0.754181937039466
157,0.7560235265683407
158,0.7578473355678439
159,0.7596568409349654
160,0.761456936257405
161,0.7632552898053218
162,0.7650373077219431
163,0.7668092356066627
164,0.7685755724725161
165,0.7703120578337412
166,0.7720224638653995
167,0.7737232730061501
168,0.7754232631824873
169,0.7771205732833635
170,0.7787680644497411
171,0.7803982771524798
172,0.7820278170149569
173,0.7836467608824682
174,0.7852631872160952
175,0.7868792146244875
176,0.7884870387036194
177,0.7900532446849712
178,0.7916125562910103
179,0.7931620375951984
180,0.7947053677347321
181,0.7962191666268851
182,0.7977295637607477
183,0.7992269400624034
184,0.8007201577679169
185,0.8021945026082202
186,0.803649426918923
187,0.805098883223658
188,0.8065176025361583
189,0.8079215619897276
190,0.8092673504424712
191,0.8105818522490856
192,0.8118847619445602
193,0.8131832264190336
194,0.8144641547843012
195,0.8157450772168923
196,0.8170211684226051
197,0.8182967963563851
198,0.8195531350766599
199,0.8208093681265185
200,0.8220526127839336
201,0.8232854840586192
202,0.8245181807740123
203,0.8257445254747131
204,0.8269613199238666
205,0.8281762832232644
206,0.8293718173346827
207,0.8305541408509085
208,0.8317329326678574
209,0.8329003459473873
210,0.8340658426935799
211,0.8352303450412475
212,0.8363935808339057
213,0.8375516789806968
214,0.8387066043118355
215,0.8398506301656766
216,0.8409891325462991
217,0.8421170021544832
218,0.8432344090274602
219,0.8443127317793601
220,0.8453844767556199
221,0.8464515267438508
222,0.8475065186151717
223,0.8485538862743282
224,0.8495853028871172
225,0.8506148792540321
226,0.8516407301342743
227,0.8526634879078839
228,0.8536856633853455
229,0.8547076702406983
230,0.8557194038340555
231,0.8566947819031504
232,0.8576671431938597
233,0.8586351105961493
234,0.8596015740358882
235,0.860555570106483
236,0.8615061472171252
237,0.8624566202799109
238,0.8634069495956609
239,0.8643374123997034
240,0.865261643765034
241,0.8661841887830783
242,0.867105883474475
243,0.8680208058866452
244,0.8689305804548961
245,0.869835257061069
246,0.8707396732415573
247,0.871636355502633
248,0.87253091132302
249,0.8734200610184181
250,0.874304291943571
251,0.8751788678009126
252,0.8760403029571338
253,0.8768979195327534
254,0.8777548964610021
255,0.8786045789966638
256,0.8794473617647499
257,0.8802804283659745
258,0.881109827865087
259,0.8819370963601163
260,0.8827604817331607
261,0.8835512667044064
262,0.8843350291508744
263,0.8851182471955508
264,0.8858947166582885
265,0.8866656589858353
266,0.8874210200822511
267,0.888172835105445
268,0.8889234167378283
269,0.8896733276022316
270,0.8904189694581566
271,0.8911602981315224
272,0.8919003874435855
273,0.8926278927147809
274,0.8933550418026606
275,0.894073539517994
276,0.8947908974054052
277,0.8955034532882842
278,0.8962140214501033
279,0.8969237839340314
280,0.8976317524651674
281,0.8983389040665756
282,0.8990445676566471
283,0.8997486254524908
284,0.9004504993304436
