city,slug,name,alt_name,kind,source,ward,lga,state,is_primary,in_plate,lon,lat
Lagos,lagos,Aileru,,settlement,grid3,Idi-Oro–Odi Olowo,Mushin,Lagos,0,1,3.36325,6.526812
Lagos,lagos,Ajah,,settlement,grid3,Ajah,Eti Osa,Lagos,0,1,3.570264,6.478014
Lagos,lagos,Ajah,,settlement,grid3,Ajiran–Osapa,Eti Osa,Lagos,0,1,3.517638,6.447168
Lagos,lagos,Ajah,,town,osm,Ajah,Eti Osa,Lagos,0,1,3.562386,6.469472
Lagos,lagos,Ajayi Bembe,,settlement,grid3,Abule Oja,Lagos Mainland,Lagos,0,1,3.382958,6.519897
Lagos,lagos,Ajeabo,,settlement,grid3,Igbehin,Mushin,Lagos,0,1,3.337818,6.519645
Lagos,lagos,Ajele,,settlement,grid3,Ajele,Lagos Island,Lagos,0,1,3.396738,6.45128
Lagos,lagos,Ajibade Close,,settlement,grid3,Onike–Oyadiran,Lagos Mainland,Lagos,0,1,3.383143,6.506372
Lagos,lagos,Ajibore,,settlement,grid3,Babalosa 1,Mushin,Lagos,0,1,3.35422,6.529698
Lagos,lagos,Ajiran Agugin,,settlement,grid3,Ajiran–Osapa,Eti Osa,Lagos,0,1,3.514175,6.453376
Lagos,lagos,Ajose Street,,settlement,grid3,Igbehin,Mushin,Lagos,0,1,3.344124,6.521018
Lagos,lagos,Akala,,settlement,grid3,Idi-Oro–Odi Olowo,Mushin,Lagos,0,1,3.361075,6.52708
Lagos,lagos,Akamo,,settlement,grid3,Idi-Oro–Odi Olowo,Mushin,Lagos,0,1,3.36247,6.528833
Lagos,lagos,Akanbi,,settlement,grid3,Onike–Oyadiran,Lagos Mainland,Lagos,0,1,3.382472,6.51544
Lagos,lagos,Akani,,settlement,grid3,Okesuna–Alase,Shomolu,Lagos,0,1,3.379168,6.536323
Lagos,lagos,Akerele,,settlement,grid3,Gbaja Obele-Odan,Surulere,Lagos,0,1,3.359318,6.49929
Lagos,lagos,Akin Adeshola,,settlement,grid3,Victoria Island,Eti Osa,Lagos,0,1,3.423872,6.423942
Lagos,lagos,Akinbiyi,,settlement,grid3,Idi-Oro–Odi Olowo,Mushin,Lagos,0,1,3.36249,6.525517
Lagos,lagos,Akinhanmi Cole,,settlement,grid3,Akinhanmi Cole,Surulere,Lagos,0,1,3.362038,6.515248
Lagos,lagos,Akins,,settlement,grid3,Addo–Okeira,Eti Osa,Lagos,0,1,3.584792,6.483748
Lagos,lagos,Akintola Close,,settlement,grid3,Idi-Araba,Mushin,Lagos,0,1,3.355619,6.521563
Lagos,lagos,Akintunde Close,,settlement,grid3,Salami–Baiyewunmi,Lagos Mainland,Lagos,0,1,3.384845,6.511235
Lagos,lagos,Akoka,,settlement,grid3,Akoka–Anu-Oluwapo,Shomolu,Lagos,0,1,3.388961,6.531928
Lagos,lagos,Alade,,settlement,grid3,Orile Somolu–Alade,Shomolu,Lagos,0,1,3.376202,6.533926
Lagos,lagos,Alafia,,settlement,grid3,Alafia–Adeoyo,Mushin,Lagos,0,1,3.346,6.523295
Lagos,lagos,Alaguntan,,village,osm,Ilasan–Orile,Eti Osa,Lagos,0,1,3.491592,6.424867
Lagos,lagos,Alaka,,settlement,grid3,Iponri–Eric Moore,Surulere,Lagos,0,1,3.353027,6.48378
Lagos,lagos,Alaka Community,,settlement,grid3,Aralile,Surulere,Lagos,0,1,3.361932,6.49504
Lagos,lagos,Alakija Street,,settlement,grid3,Harvey,Lagos Mainland,Lagos,0,1,3.372033,6.519766
Lagos,lagos,Alasia,,settlement,grid3,Sangotedo,Eti Osa,Lagos,0,1,3.598269,6.470187
Lagos,lagos,Alfred Way,,settlement,grid3,Ikoyi 1,Eti Osa,Lagos,0,1,3.432817,6.460065
Lagos,lagos,Alhaji Street,,settlement,grid3,Idi-Oro–Odi Olowo,Mushin,Lagos,0,1,3.360063,6.526762
Lagos,lagos,Alli,,settlement,grid3,Idi-Oro–Odi Olowo,Mushin,Lagos,0,1,3.358927,6.527185
Lagos,lagos,Alpha Beach,,settlement,grid3,Maroko–Okun Alfa,Eti Osa,Lagos,0,1,3.525672,6.432958
Lagos,lagos,Aluko Street,,settlement,grid3,Babalosa 2,Mushin,Lagos,0,1,3.357443,6.522443
Lagos,lagos,Amity Estate,,settlement,grid3,Sangotedo,Eti Osa,Lagos,0,1,3.666207,6.468995
Lagos,lagos,Amodu,,settlement,grid3,Idi-Oro–Odi Olowo,Mushin,Lagos,0,1,3.361755,6.526178
Lagos,lagos,Amodu Akala,,settlement,grid3,Idi-Oro–Odi Olowo,Mushin,Lagos,0,1,3.362607,6.527228
Lagos,lagos,Amos Adesanya,,settlement,grid3,Makoko,Lagos Mainland,Lagos,0,1,3.386022,6.496915
Lagos,lagos,Amos Olayinka,,settlement,grid3,Makoko,Lagos Mainland,Lagos,0,1,3.385288,6.497208
Lagos,lagos,Amusa,,settlement,grid3,Igbehin,Mushin,Lagos,0,1,3.338643,6.521584
Lagos,lagos,Anifowoshe,,settlement,grid3,Igbehin,Mushin,Lagos,0,1,3.339992,6.520961
