n_sites,pop_covered
1,0.05321064360530628
2,0.0979497317168699
3,0.13669771611815762
4,0.1718872008791776
5,0.20290669143547382
6,0.22972785610791827
7,0.2563689290014467
8,0.28141355667501516
9,0.3064536667522079
10,0.3311771011905164
11,0.35558656716510867
12,0.37909680289423026
13,0.4017075908785085
14,0.4241347448120421
15,0.44510586983145506
16,0.4655374862331351
17,0.484740301371674
18,0.503752594788843
19,0.5226328750556364
20,0.5413679796626418
21,0.5591866381968565
22,0.5766534544590503
23,0.5937569892463491
24,0.6106907988754139
25,0.6253404494301066
26,0.6393062383625555
27,0.6532125498356308
28,0.6670846026342702
29,0.6804727170152561
30,0.6931373666191974
31,0.7054545448584568
32,0.7175897886199463
33,0.728557765771725
34,0.7394539300225642
35,0.750097836472474
36,0.760452617424188
37,0.7703916526019146
38,0.7796217934435978
39,0.788520643867742
40,0.7971834287271562
41,0.805500349262071
42,0.8129229439050453
43,0.8202676521126314
44,0.8276118592668273
45,0.8343104050314123
46,0.8408544374654368
47,0.8471294018403381
48,0.8532387744413391
49,0.8592650944316191
50,0.8650294955679029
51,0.8707633388636433
52,0.876025155660588
53,0.8810630521067346
54,0.8859837591520644
55,0.8907768020859085
56,0.8953274715570996
57,0.899797509510393
58,0.9042436913311491
