city,slug,median_snap_m,p90_snap_m,pop_share_offnetwork,hex_share_offnetwork,grid3_schools_metro,grid3_schools_bbox,osm_schools_bbox,osm_to_grid3_ratio
Lagos,lagos,67.19731626381426,1812.5324916028455,0.0282487316174087,0.2483372557044919,5966,8261,654,0.0791671710446677
Kano,kano,71.07703444737874,433.9830078291418,0.0093367518748821,0.1864643293214721,1045,1345,260,0.1933085501858736
Ibadan,ibadan,47.240871246896944,121.14527708478104,0.0014516579298818,0.0067618332081141,453,1044,69,0.0660919540229885
Port Harcourt,port_harcourt,56.33042935897577,325.99665528200575,0.0054470717335992,0.1332550631053713,326,594,103,0.1734006734006734
Abuja,abuja,197.54893257524037,15579.381410658965,0.03096718076367609,0.4523519376066293,582,706,84,0.11898016997167139
